activity,confidence,timestamp,phone_lat,phone_long
unknown,0,Thu Oct 28 20:35:51 GMT+02:00 2021,55.8247838,9.8646273
Still,100,Thu Oct 28 20:35:53 GMT+02:00 2021,55.824773,9.8646317
Still,100,Thu Oct 28 20:36:02 GMT+02:00 2021,55.8249154,9.8645729
Still,100,Thu Oct 28 20:36:08 GMT+02:00 2021,55.8248788,9.8645681
Still,100,Thu Oct 28 20:36:18 GMT+02:00 2021,55.8249661,9.8645448
Still,100,Thu Oct 28 20:36:21 GMT+02:00 2021,55.8249719,9.8645467
Walking,95,Thu Oct 28 20:36:25 GMT+02:00 2021,55.8249723,9.8645524
Walking,95,Thu Oct 28 20:36:29 GMT+02:00 2021,55.8249298,9.8645135
Walking,95,Thu Oct 28 20:36:32 GMT+02:00 2021,55.8249331,9.8645186
Walking,95,Thu Oct 28 20:36:35 GMT+02:00 2021,55.8248717,9.8645753
Walking,93,Thu Oct 28 20:36:39 GMT+02:00 2021,55.8249471,9.8644913
Walking,93,Thu Oct 28 20:36:42 GMT+02:00 2021,55.8249482,9.8644876
Walking,93,Thu Oct 28 20:36:45 GMT+02:00 2021,55.8249738,9.86447
Tilting,100,Thu Oct 28 20:36:49 GMT+02:00 2021,55.8249901,9.8644486
Tilting,100,Thu Oct 28 20:36:53 GMT+02:00 2021,55.8249685,9.8644877
Tilting,100,Thu Oct 28 20:36:56 GMT+02:00 2021,55.8249128,9.8645488
Walking,86,Thu Oct 28 20:37:00 GMT+02:00 2021,55.8248559,9.8646064
Walking,86,Thu Oct 28 20:37:03 GMT+02:00 2021,55.8248352,9.8646412
Walking,86,Thu Oct 28 20:37:07 GMT+02:00 2021,55.8248244,9.8646293
Running,75,Thu Oct 28 20:37:10 GMT+02:00 2021,55.8247808,9.8645884
Running,75,Thu Oct 28 20:37:13 GMT+02:00 2021,55.8247864,9.8645551
Running,75,Thu Oct 28 20:37:17 GMT+02:00 2021,55.8247613,9.8646051
Running,75,Thu Oct 28 20:37:21 GMT+02:00 2021,55.824876,9.8645453
Tilting,100,Thu Oct 28 20:37:25 GMT+02:00 2021,55.824834,9.8645736
Tilting,100,Thu Oct 28 20:37:29 GMT+02:00 2021,55.8247807,9.8645985
Tilting,100,Thu Oct 28 20:37:32 GMT+02:00 2021,55.8247684,9.8645899
Tilting,100,Thu Oct 28 20:37:36 GMT+02:00 2021,55.824763,9.8646387
Tilting,100,Thu Oct 28 20:37:39 GMT+02:00 2021,55.8247698,9.8646304
Tilting,100,Thu Oct 28 20:37:43 GMT+02:00 2021,55.8247708,9.8646238
Tilting,100,Thu Oct 28 20:37:47 GMT+02:00 2021,55.824823,9.8645689
Tilting,100,Thu Oct 28 20:37:50 GMT+02:00 2021,55.8248032,9.8645912
Tilting,100,Thu Oct 28 20:37:59 GMT+02:00 2021,55.8247577,9.8646365
Still,100,Thu Oct 28 20:38:04 GMT+02:00 2021,55.8247642,9.8646349
Still,100,Thu Oct 28 20:38:09 GMT+02:00 2021,55.8247626,9.8646378
Still,100,Thu Oct 28 20:38:14 GMT+02:00 2021,55.8247673,9.8646428
Still,100,Thu Oct 28 20:38:19 GMT+02:00 2021,55.8247731,9.864636
Still,99,Thu Oct 28 20:38:29 GMT+02:00 2021,55.8247798,9.864627
Still,100,Thu Oct 28 20:38:34 GMT+02:00 2021,55.8247909,9.8646138
Still,100,Thu Oct 28 20:38:38 GMT+02:00 2021,55.8247957,9.8646081
Still,100,Thu Oct 28 20:38:49 GMT+02:00 2021,55.8247701,9.8646251
Still,99,Thu Oct 28 20:38:56 GMT+02:00 2021,55.8248012,9.8646037
Still,99,Thu Oct 28 20:39:06 GMT+02:00 2021,55.8247957,9.8646077
Still,99,Thu Oct 28 20:39:11 GMT+02:00 2021,55.8248477,9.8645792
Still,99,Thu Oct 28 20:39:16 GMT+02:00 2021,55.8247967,9.864595
Still,99,Thu Oct 28 20:39:21 GMT+02:00 2021,55.8247729,9.8646212
Still,99,Thu Oct 28 20:39:26 GMT+02:00 2021,55.8248611,9.8645799
