activity,confidence,timestamp
Still,100,21:05:45
Still,97,21:06:20
Unknown,97,21:06:20
On_Foot,97,21:06:20
Walking,97,21:06:20
On_Foot,96,21:06:38
Walking,96,21:06:38
Unknown,96,21:06:38
Still,96,21:06:38
On_Foot,96,21:06:49
Walking,96,21:06:49
Unknown,96,21:06:49
On_Bicycle,96,21:06:49
Still,96,21:06:49
Unknown,96,21:07:00
In_Vehicle,96,21:07:00
On_Bicycle,96,21:07:00
On_Foot,96,21:07:00
Walking,96,21:07:00
Running,96,21:07:00
Still,96,21:07:00
Still,100,21:07:07
Still,100,21:07:15
Still,100,21:07:25
Still,100,21:07:41
On_Foot,100,21:07:41
Walking,100,21:07:41
Unknown,100,21:07:41
In_Vehicle,100,21:07:41
On_Bicycle,100,21:07:41
Still,100,21:07:51
Still,100,21:08:01
Still,100,21:08:11
Still,100,21:08:21
Still,100,21:08:29
Still,100,21:08:37
Still,100,21:08:45
Still,100,21:08:53
Still,100,21:09:01
Still,100,21:09:09
Still,100,21:09:16
Still,100,21:09:24
Still,100,21:09:31
Still,100,21:09:39
Still,100,21:09:46
Still,100,21:09:54
Still,100,21:10:01
Still,100,21:10:09
Still,100,21:10:17
Still,100,21:10:25
Still,100,21:10:33
Still,100,21:10:41
Still,100,21:10:49
Still,100,21:10:57
Still,100,21:11:05
Still,100,21:11:13
Still,100,21:11:21
Still,100,21:11:29
Still,100,21:11:36
Still,100,21:11:44
Still,100,21:11:51
Still,100,21:11:59
Still,100,21:12:06
Still,100,21:12:14
Still,100,21:12:21
Still,100,21:12:29
Still,100,21:12:36
Still,100,21:12:44
Still,100,21:12:52
Still,100,21:13:00
Still,100,21:13:08
Still,100,21:13:16
Still,100,21:13:24
Still,100,21:13:32
Still,100,21:13:44
On_Foot,100,21:13:44
Walking,100,21:13:44
In_Vehicle,100,21:13:44
On_Bicycle,100,21:13:44
Running,100,21:13:44
Unknown,100,21:13:44
Tilting,100,21:13:56
Unknown,100,21:13:56
In_Vehicle,100,21:13:56
On_Bicycle,100,21:13:56
On_Foot,100,21:13:56
Walking,100,21:13:56
Running,100,21:13:56
Still,100,21:13:56
Unknown,100,21:14:07
In_Vehicle,100,21:14:07
On_Bicycle,100,21:14:07
On_Foot,100,21:14:07
Walking,100,21:14:07
Running,100,21:14:07
Still,100,21:14:07
Still,100,21:14:19
On_Foot,100,21:14:19
Walking,100,21:14:19
In_Vehicle,100,21:14:19
On_Bicycle,100,21:14:19
Unknown,100,21:14:19
Unknown,100,21:14:31
In_Vehicle,100,21:14:31
On_Bicycle,100,21:14:31
On_Foot,100,21:14:31
Walking,100,21:14:31
Running,100,21:14:31
Still,100,21:14:31
Tilting,100,21:14:42
Still,100,21:14:42
On_Foot,100,21:14:42
Walking,100,21:14:42
In_Vehicle,100,21:14:42
On_Bicycle,100,21:14:42
Unknown,100,21:14:42
Unknown,100,21:14:53
In_Vehicle,100,21:14:53
On_Bicycle,100,21:14:53
On_Foot,100,21:14:53
Walking,100,21:14:53
Running,100,21:14:53
Still,100,21:14:53
Unknown,100,21:15:05
In_Vehicle,100,21:15:05
On_Bicycle,100,21:15:05
On_Foot,100,21:15:05
Walking,100,21:15:05
Running,100,21:15:05
Still,100,21:15:05
Tilting,100,21:15:16
Unknown,100,21:15:16
In_Vehicle,100,21:15:16
On_Bicycle,100,21:15:16
On_Foot,100,21:15:16
Walking,100,21:15:16
Running,100,21:15:16
Still,100,21:15:16
Unknown,100,21:15:27
In_Vehicle,100,21:15:27
On_Bicycle,100,21:15:27
On_Foot,100,21:15:27
Walking,100,21:15:27
Running,100,21:15:27
Still,100,21:15:27
Unknown,100,21:15:38
In_Vehicle,100,21:15:38
On_Bicycle,100,21:15:38
On_Foot,100,21:15:38
Walking,100,21:15:38
Running,100,21:15:38
Still,100,21:15:38
Still,100,21:15:46
Unknown,100,21:15:57
In_Vehicle,100,21:15:57
On_Bicycle,100,21:15:57
On_Foot,100,21:15:57
Walking,100,21:15:57
Running,100,21:15:57
Still,100,21:15:57
Tilting,100,21:16:07
Unknown,100,21:16:07
In_Vehicle,100,21:16:07
On_Bicycle,100,21:16:07
On_Foot,100,21:16:07
Walking,100,21:16:07
Running,100,21:16:07
Still,100,21:16:07
Tilting,100,21:16:19
Unknown,100,21:16:19
In_Vehicle,100,21:16:19
On_Bicycle,100,21:16:19
On_Foot,100,21:16:19
Walking,100,21:16:19
Running,100,21:16:19
Still,100,21:16:19
Unknown,100,21:16:31
In_Vehicle,100,21:16:31
On_Bicycle,100,21:16:31
On_Foot,100,21:16:31
Walking,100,21:16:31
Running,100,21:16:31
Still,100,21:16:31
Unknown,100,21:16:43
In_Vehicle,100,21:16:43
On_Bicycle,100,21:16:43
On_Foot,100,21:16:43
Walking,100,21:16:43
Running,100,21:16:43
Still,100,21:16:43
Unknown,100,21:16:54
In_Vehicle,100,21:16:54
On_Bicycle,100,21:16:54
On_Foot,100,21:16:54
Walking,100,21:16:54
Running,100,21:16:54
Still,100,21:16:54
Unknown,100,21:17:06
In_Vehicle,100,21:17:06
On_Bicycle,100,21:17:06
On_Foot,100,21:17:06
Walking,100,21:17:06
Running,100,21:17:06
Still,100,21:17:06
Still,100,21:17:18
On_Foot,100,21:17:18
Walking,100,21:17:18
In_Vehicle,100,21:17:18
On_Bicycle,100,21:17:18
Unknown,100,21:17:18
Running,100,21:17:18
Still,100,21:17:30
Still,100,21:17:42
On_Foot,100,21:17:42
Walking,100,21:17:42
In_Vehicle,100,21:17:42
On_Bicycle,100,21:17:42
Unknown,100,21:17:42
Unknown,100,21:17:54
In_Vehicle,100,21:17:54
On_Bicycle,100,21:17:54
On_Foot,100,21:17:54
Walking,100,21:17:54
Running,100,21:17:54
Still,100,21:17:54
Unknown,100,21:18:06
In_Vehicle,100,21:18:06
On_Bicycle,100,21:18:06
On_Foot,100,21:18:06
Walking,100,21:18:06
Running,100,21:18:06
Still,100,21:18:06
Unknown,100,21:18:18
In_Vehicle,100,21:18:18
On_Bicycle,100,21:18:18
On_Foot,100,21:18:18
Walking,100,21:18:18
Running,100,21:18:18
Still,100,21:18:18
Still,100,21:18:29
In_Vehicle,100,21:18:29
On_Bicycle,100,21:18:29
On_Foot,100,21:18:29
Walking,100,21:18:29
Unknown,100,21:18:29
Unknown,100,21:18:41
In_Vehicle,100,21:18:41
On_Bicycle,100,21:18:41
On_Foot,100,21:18:41
Walking,100,21:18:41
Running,100,21:18:41
Still,100,21:18:41
Unknown,100,21:18:52
In_Vehicle,100,21:18:52
On_Bicycle,100,21:18:52
On_Foot,100,21:18:52
Walking,100,21:18:52
Running,100,21:18:52
Still,100,21:18:52
On_Bicycle,100,21:18:59
On_Bicycle,97,21:19:06
Unknown,97,21:19:06
Still,97,21:19:06
On_Bicycle,100,21:19:14
On_Bicycle,87,21:19:26
In_Vehicle,87,21:19:26
Unknown,87,21:19:26
On_Bicycle,98,21:19:34
In_Vehicle,98,21:19:34
Unknown,98,21:19:34
On_Bicycle,93,21:19:46
In_Vehicle,93,21:19:46
On_Foot,93,21:19:46
Walking,93,21:19:46
Unknown,93,21:19:46
On_Bicycle,83,21:19:58
In_Vehicle,83,21:19:58
Unknown,83,21:19:58
On_Foot,83,21:19:58
Walking,83,21:19:58
On_Bicycle,100,21:20:06
On_Bicycle,100,21:20:14
On_Bicycle,100,21:20:22
On_Bicycle,97,21:20:30
In_Vehicle,97,21:20:30
Unknown,97,21:20:30
On_Bicycle,99,21:20:38
Unknown,99,21:20:38
On_Bicycle,98,21:20:46
In_Vehicle,98,21:20:46
Unknown,98,21:20:46
On_Bicycle,100,21:20:54
On_Bicycle,99,21:21:02
Unknown,99,21:21:02
On_Bicycle,99,21:21:10
Unknown,99,21:21:10
On_Bicycle,99,21:21:22
In_Vehicle,99,21:21:22
On_Bicycle,97,21:21:34
